Property ID|Location|Price|Bedrooms|Bathrooms|Size|Price SQ Ft|Status
1461262|Arroyo Grande|795000|3|3|2371|365.3|Short Sale
1478004|Paulo Pablo|399000|4|3|2818|163.59|Short Sale
1486551|Paulo Pablo|545000|4|3|3032|179.75|Short Sale
1492832|Santa Bay|909000|4|4|3540|286.78|Short Sale
1499102|Thomas County|109900|3|1|1249|98.99|Short Sale
1500741|La Oceana|324900|3|3|1800|180.5|Short Sale
1507396|Thomas County|192900|4|2|1603|120.34|Short Sale
1507990|Thomas County|215000|3|2|1450|149.28|Short Sale
1508749|Santa Bay|999000|4|3|3360|283.32|Short Sale
1513270|Atascadero|319000|3|2|1323|241.12|Short Sale
1518583|Thomas County|350000|3|2|1750|220|Short Sale
1526030|Thomas County|249000|3|2|1400|177.86|Short Sale
1532201|Arroyo Grande|299000|2|2|1257|246.87|Short Sale
1533697|Thomas County|235900|3|2|1400|168.5|Short Sale
1534071|Thomas County|348000|3|2|1600|217.5|Short Sale
1536271|Paulo Pablo|314000|4|3|1794|175.03|Short Sale
1539098|Los Alamos|399000|4|2|1850|215.68|Short Sale
1539252|San Miguel|599000|3|3|2950|203.05|Short Sale
1540484|Paulo Pablo|299000|3|2|1719|173.94|Short Sale
1540803|San Luis Obispo|425000|3|3|1472|288.72|Short Sale
1540847|Santa Bay|1100000|4|3|4168|263.92|Short Sale
1540880|Cayucos|1500000|3|3|3880|386.6|Short Sale
1541243|Thomas County|110000|2|1|1000|365.3|Short Sale
1544345|Thomas County|200000|3|2|1139|163.59|Short Sale
1545060|Thomas County|134900|3|1|1080|179.75|Short Sale
1547733|Thomas County|250000|4|3|2000|286.78|Short Sale
1547920|Pismo Beach|950000|3|4|1920|98.99|Short Sale
1548041|Thomas County|239950|4|2|1348|180.5|Short Sale
1553068|Thomas County|170000|3|2|1280|120.34|Short Sale
1553332|Thomas County|285000|3|2|2400|149.28|Short Sale
1553552|Thomas County|279000|3|3|1700|283.32|Short Sale
1556819|Thomas County|219000|3|2|1600|241.12|Short Sale
1556951|Thomas County|155000|3|2|1050|220|Short Sale
1559107|Atascadero|389000|3|2|1415|177.86|Short Sale
1560317|Nipomo|340000|3|1|1110|246.87|Short Sale
1560559|Guadalupe|95000|2|1|797|168.5|Short Sale
1564376|Thomas County|140000|2|2|1100|217.5|Short Sale
1565740|Pismo Beach|1100000|3|3|2602|175.03|Short Sale
1566862|Thomas County|360000|4|3|2351|215.68|Short Sale
1567808|Santa Bay|415000|3|3|1350|203.05|Short Sale
1567929|Thomas County|250000|4|2|1206|173.94|Short Sale
1568435|Thomas County|559000|3|3|2628|288.72|Short Sale
1570998|Nipomo|525000|3|3|2365|263.92|Short Sale
1571119|Los Osos|779000|3|3|2990|386.6|Short Sale
1571570|Arroyo Grande|595000|3|2|1750|340|Short Sale
1572747|Templeton|1150000|4|5|5500|209.09|Short Sale
1573407|Templeton|550000|3|2|1852|296.98|Short Sale
1574705|Grover Beach|500000|3|2|2100|238.1|Short Sale
1574870|Thomas County|279000|4|3|2580|108.14|Short Sale
1574958|Thomas County|375000|4|2|1963|191.03|Short Sale
1575387|Thomas County|330000|3|3|1900|173.68|Short Sale
1575772|Thomas County|199000|3|3|1450|137.24|Short Sale
1575805|Thomas County|165000|2|2|1000|165|Short Sale
1577796|Templeton|1399000|4|3|6500|215.23|Foreclosure
1578577|Thomas County|255000|3|2|1218|209.36|Short Sale
1578764|Cambria|325000|2|2|893|363.94|Short Sale
1578874|Santa Bay|789000|3|3|2100|375.71|Foreclosure
1578940|Nipomo|498000|4|3|2341|212.73|Short Sale
1582724|Nipomo|430000|4|2|2168|198.34|Short Sale
1583406|Paulo Pablo|539900|4|3|3032|178.07|Short Sale
1586244|Pismo Beach|499000|3|2|1293|385.92|Short Sale
